quote_id,ts,market_symbol,market_name,local_symbol,strike,right,side,bid,ask,mid,spread,bid_size,ask_size,implied_prob
582,2026-05-27T03:16:54.126642+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
583,2026-05-27T03:17:21.957809+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
584,2026-05-27T03:17:22.506532+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
585,2026-05-27T03:17:23.044994+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
586,2026-05-27T03:17:23.421153+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
587,2026-05-27T03:17:23.697581+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
588,2026-05-27T03:17:23.958364+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
589,2026-05-27T03:17:24.272368+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
590,2026-05-27T03:18:39.249590+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
591,2026-05-27T03:18:40.215963+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
592,2026-05-27T03:18:41.162182+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
593,2026-05-27T03:18:42.048891+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
594,2026-05-27T03:18:42.888040+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
595,2026-05-27T03:18:44.075203+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
596,2026-05-27T03:18:45.114934+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
597,2026-05-27T03:19:38.037621+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
598,2026-05-27T03:19:38.404803+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
599,2026-05-27T03:19:38.707283+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
600,2026-05-27T03:19:39.062363+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
601,2026-05-27T03:19:39.354568+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
602,2026-05-27T03:19:39.638824+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
603,2026-05-27T03:19:39.902608+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
604,2026-05-27T03:20:38.032303+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
605,2026-05-27T03:20:38.353137+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
606,2026-05-27T03:20:38.667150+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
607,2026-05-27T03:20:38.929339+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
608,2026-05-27T03:20:39.284894+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
609,2026-05-27T03:20:39.554295+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
610,2026-05-27T03:20:39.810845+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
611,2026-05-27T03:21:38.513514+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
612,2026-05-27T03:21:39.172630+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,P,NO,0.08,0.15,0.115,0.07,,,0.115
613,2026-05-27T03:21:39.863789+00:00,GOVPARTYLA-27,Will the Republican party win the governorship in Louisiana,GOVPARTYLA-27-D,0.0,C,YES,0.08,0.15,0.115,0.07,,,0.115
614,2026-05-27T03:21:40.443962+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,P,NO,0.66,0.74,0.7,0.08,,,0.7
615,2026-05-27T03:21:41.232685+00:00,CONTROLH-2028,Will the Republican party win the House in 2028?,CONTROLH-2028-D,0.0,C,YES,0.66,0.74,0.7,0.08,,,0.7
616,2026-05-27T03:21:41.801276+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,P,NO,0.5,0.59,0.545,0.09,,,0.545
617,2026-05-27T03:21:42.465637+00:00,CONTROLS-2028,Will the Republican party win the Senate in 2028?,CONTROLS-2028-D,0.0,C,YES,0.5,0.59,0.545,0.09,,,0.545
618,2026-05-27T03:22:37.933101+00:00,CHINAUSGDP,Will China overtake US GDP by 2030?,CHINAUSGDP-30,0.0,C,YES,0.19,0.23,0.21,0.04,,,0.21
