id,ts,strategy,broker,symbol,action,order_type,qty,price,value_usd,fee_usd,pnl_usd,pnl_pct,paper,order_id,notes,lane,won,source,contract_side,forecast_yes_prob,model_prob_gfs,model_prob_ecmwf,weather_mode,forecast_hours_to_resolution
599,2026-06-17T01:07:50.522278-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1702-T62.99,BUY,Limit,1.0,0.29,0.29,0.0145,0.0,0.0,0,5d677066-6863-425b-8856-aaf2514299a2,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
598,2026-06-17T01:36:57.330222-04:00,reconstructed_kalshi,kalshi,KXHIGHTOKC-26JUN17-T96,SELL,Limit,14.0,0.7699999999999999,10.78,0.1736,0.0,0.0,0,01a9c937-0a5d-4c55-8389-e8366ba07f4c,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
597,2026-06-17T01:37:09.039187-04:00,reconstructed_kalshi,kalshi,KXLOWTLV-26JUN17-T85,BUY,Limit,27.0,0.15,4.05,0.2411,0.0,0.0,0,6de7e828-eb9c-42bd-9de9-275c44113c59,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
596,2026-06-17T02:00:40.296616-04:00,reconstructed_kalshi,kalshi,KXLOWTHOU-26JUN17-T77,BUY,Limit,13.0,0.26,3.38,0.1751,0.0,0.0,0,88a4c6e9-e96d-4ae9-9b59-7a1f2cf6828a,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
595,2026-06-17T04:20:28.078663-04:00,reconstructed_kalshi,kalshi,KXLOWTSATX-26JUN17-T74,SELL,Limit,1.0,0.85,0.85,0.009,0.0,0.0,0,fe3f9222-50cb-42ff-8f72-0ed755ba69e8,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
594,2026-06-17T05:29:26.892505-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1706-T61.99,BUY,Limit,1.0,0.2,0.2,0.0112,0.0,0.0,0,a9f0d463-4a9a-41b1-bf23-b6e5718cec62,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
593,2026-06-17T06:03:55.349486-04:00,reconstructed_kalshi,kalshi,KXTEMPNYCH-26JUN1707-T65.99,BUY,Limit,1.0,0.04,0.04,0.0027,0.0,0.0,0,bfa35e05-9e6d-4b79-89fe-613e110681a8,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
592,2026-06-17T06:21:14.372379-04:00,reconstructed_kalshi,kalshi,KXHIGHTSATX-26JUN17-T90,BUY,Limit,10.0,0.09,0.9,0.0575,0.0,0.0,0,bcd3f838-45dc-46ea-b497-dd52af589aa9,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
591,2026-06-17T07:08:04.475646-04:00,reconstructed_kalshi,kalshi,KXLOWTATL-26JUN17-T69,SELL,Limit,5.0,0.176,0.88,0.0509,0.0,0.0,0,219869a2-22b5-49ce-8f73-fc937231892c,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
590,2026-06-17T07:14:02.245864-04:00,reconstructed_kalshi,kalshi,KXLOWTATL-26JUN17-T69,BUY,Limit,1.0,0.11,0.11,0.0069,0.0,0.0,0,854e3ad4-f6d9-42ea-9920-8c48cc6d8f4a,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
589,2026-06-17T07:37:11.140344-04:00,reconstructed_kalshi,kalshi,KXHIGHDEN-26JUN17-T92,BUY,Limit,75.0,0.08,6.0,0.3864,0.0,0.0,0,ff0c67a3-7ea9-45b6-842a-25a01d408b03,reconstructed_from_kalshi_api,lane2,,live_v10,YES,,,,,
